edad-media,  State-gov,  Bachelors,  Never-married,  Adm-clerical,  Not-in-family,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Wife,  Other,  Female, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Other-service,  Own-child,  White,  Female, si, si, tiempo-completo, extranjero, n
edad-media,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Wife,  White,  Female, si, no, excesivo, extranjero, y
adulto,  Federal-gov,  Bachelors,  Divorced,  Exec-managerial,  Not-in-family,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Self-emp-inc,  HS-grad,  Divorced,  Exec-managerial,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  5th-6th,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, n
edad-media,  ?,  7th-8th,  Married-spouse-absent,  ?,  Not-in-family,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Doctorate,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Divorced,  Tech-support,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Prof-specialty,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Bachelors,  Separated,  Sales,  Own-child,  Black,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  Some-college,  Never-married,  Machine-op-inspct,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
anciano,  Private,  Some-college,  Married-civ-spouse,  Prof-specialty,  Other-relative,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Other-service,  Own-child,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  Assoc-acdm,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, n
anciano,  ?,  10th,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, si, medio-tiempo, nacional, n
joven,  Private,  11th,  Never-married,  Other-service,  Own-child,  White,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Local-gov,  7th-8th,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, tiempo-completo, nacional, n
adulto,  Private,  Bachelors,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  Wife,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Craft-repair,  Not-in-family,  White,  Female, no, si, excesivo, nacional, y
adulto,  Private,  HS-grad,  Divorced,  Sales,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Local-gov,  HS-grad,  Married-civ-spouse,  Protective-serv,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  9th,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Federal-gov,  Doctorate,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, si, excesivo, nacional, y
adulto,  Private,  Assoc-voc,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Craft-repair,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Machine-op-inspct,  Unmarried,  Black,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Wife,  Asian-Pac-Islander,  Female, si, no, tiempo-completo, extranjero, n
edad-media,  Local-gov,  Bachelors,  Married-civ-spouse,  Protective-serv,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Local-gov,  Some-college,  Never-married,  Handlers-cleaners,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Doctorate,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, no, excesivo, nacional, y
edad-media,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Assoc-acdm,  Divorced,  Exec-managerial,  Unmarried,  White,  Female, si, si, excesivo, extranjero, n
edad-media,  Federal-gov,  HS-grad,  Never-married,  Other-service,  Own-child,  Black,  Male, si, si, excesivo, nacional, n
anciano,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Self-emp-not-inc,  Masters,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Tech-support,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, no, si, excesivo, nacional, y
joven,  ?,  10th,  Never-married,  ?,  Own-child,  White,  Female, no, si, tiempo-completo, nacional, n
edad-media,  Private,  11th,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  HS-grad,  Never-married,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Bachelors,  Never-married,  Sales,  Other-relative,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, no, excesivo, extranjero, y
edad-media,  Private,  Some-college,  Married-civ-spouse,  Sales,  Wife,  White,  Female, no, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Own-child,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  9th,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  Husband,  Black,  Male, si, si, excesivo, nacional, y
adulto,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Other-service,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Exec-managerial,  Own-child,  Black,  Male, si, si, excesivo, extranjero, n
edad-media,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  Some-college,  Never-married,  Other-service,  Own-child,  Black,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Wife,  White,  Female, si, si, excesivo, nacional, y
joven,  Private,  Some-college,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, no, tiempo-completo, nacional, n
edad-media,  Private,  Assoc-acdm,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  ?,  HS-grad,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Never-married,  Sales,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Other-service,  Not-in-family,  White,  Female, si, no, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, no, si, tiempo-completo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Divorced,  Tech-support,  Not-in-family,  Black,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Federal-gov,  Masters,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, extranjero, y
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Adm-clerical,  Wife,  White,  Female, si, si, tiempo-completo, nacional, n
joven,  Private,  Some-college,  Never-married,  Sales,  Own-child,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, nacional, y
adulto,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Never-married,  Sales,  Own-child,  White,  Female, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Other-service,  Own-child,  White,  Male, si, si, tiempo-completo, extranjero, n
edad-media,  Private,  Assoc-voc,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, no, excesivo, nacional, y
anciano,  Private,  Some-college,  Never-married,  Tech-support,  Other-relative,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Transport-moving,  Unmarried,  Black,  Female, si, si, tiempo-completo, nacional, n
joven,  Private,  Some-college,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Widowed,  Other-service,  Unmarried,  White,  Female, si, si, medio-tiempo, nacional, n
adulto,  Private,  11th,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, no, excesivo, nacional, n
edad-media,  ?,  Some-college,  Divorced,  ?,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Some-college,  Divorced,  Adm-clerical,  Unmarried,  White,  Female, si, si, tiempo-completo, extranjero, n
edad-media,  Private,  HS-grad,  Never-married,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Exec-managerial,  Other-relative,  Asian-Pac-Islander,  Female, si, si, excesivo, extranjero, n
joven,  Private,  HS-grad,  Never-married,  Craft-repair,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
adulto,  ?,  HS-grad,  Divorced,  ?,  Not-in-family,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Bachelors,  Never-married,  Handlers-cleaners,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
anciano,  Self-emp-not-inc,  Some-college,  Separated,  Sales,  Unmarried,  Black,  Male, si, no, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Separated,  Other-service,  Other-relative,  Black,  Male, si, si, excesivo, nacional, n
anciano,  ?,  1st-4th,  Divorced,  ?,  Not-in-family,  White,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Other-service,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-inc,  Masters,  Divorced,  Exec-managerial,  Unmarried,  Asian-Pac-Islander,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Exec-managerial,  Not-in-family,  Asian-Pac-Islander,  Female, si, si, excesivo, extranjero, n
edad-media,  Self-emp-not-inc,  Masters,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Divorced,  Other-service,  Unmarried,  White,  Female, si, si, excesivo, extranjero, n
edad-media,  Federal-gov,  Assoc-acdm,  Never-married,  Exec-managerial,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  State-gov,  Masters,  Widowed,  Protective-serv,  Unmarried,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  11th,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, si, si, medio-tiempo, nacional, n
anciano,  Local-gov,  Assoc-voc,  Widowed,  Prof-specialty,  Not-in-family,  White,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Other-service,  Not-in-family,  White,  Male, si, no, excesivo, nacional, n
edad-media,  State-gov,  HS-grad,  Married-civ-spouse,  Protective-serv,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, no, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Never-married,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Married-spouse-absent,  Sales,  Unmarried,  White,  Female, si, si, tiempo-completo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Craft-repair,  Own-child,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Other-service,  Own-child,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  Black,  Male, si, si, tiempo-completo, nacional, y
edad-media,  Private,  Some-college,  Divorced,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Never-married,  Craft-repair,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  7th-8th,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, extranjero, y
edad-media,  Federal-gov,  Some-college,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Husband,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Bachelors,  Divorced,  Exec-managerial,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
adulto,  ?,  Bachelors,  Divorced,  ?,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  Wife,  White,  Female, si, si, excesivo, nacional, n
adulto,  State-gov,  Doctorate,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, medio-tiempo, nacional, y
edad-media,  Private,  Some-college,  Divorced,  Machine-op-inspct,  Not-in-family,  Black,  Female, si, si, tiempo-completo, nacional, n
joven,  Private,  Some-college,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Bachelors,  Married-civ-spouse,  Craft-repair,  Husband,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Federal-gov,  Bachelors,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, medio-tiempo, nacional, n
joven,  Private,  5th-6th,  Married-civ-spouse,  Transport-moving,  Other-relative,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  Some-college,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Federal-gov,  Masters,  Never-married,  Exec-managerial,  Not-in-family,  White,  Female, no, si, excesivo, nacional, y
edad-media,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  Other-relative,  White,  Male, no, si, excesivo, nacional, y
joven,  Self-emp-not-inc,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, no, excesivo, nacional, n
joven,  ?,  HS-grad,  Never-married,  ?,  Own-child,  White,  Male, si, si, excesivo, extranjero, n
adulto,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Local-gov,  Some-college,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, no, excesivo, nacional, n
edad-media,  State-gov,  HS-grad,  Divorced,  Adm-clerical,  Unmarried,  White,  Female, si, si, tiempo-completo, nacional, n
joven,  Private,  11th,  Never-married,  Sales,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Other-service,  Husband,  Black,  Male, no, si, tiempo-completo, nacional, y
edad-media,  Private,  HS-grad,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Sales,  Wife,  White,  Female, no, si, tiempo-completo, nacional, y
joven,  Private,  11th,  Never-married,  Sales,  Own-child,  White,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Local-gov,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Never-married,  Sales,  Not-in-family,  Amer-Indian-Eskimo,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  7th-8th,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Never-married,  Exec-managerial,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, y
adulto,  Private,  Assoc-acdm,  Divorced,  Sales,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  10th,  Never-married,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  ?,  1st-4th,  Divorced,  ?,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
anciano,  Private,  HS-grad,  Never-married,  Other-service,  Not-in-family,  Black,  Male, si, no, excesivo, nacional, n
